Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,DEC 2022,JAN 2023,FEB 2023,MAR 2023,APR 2023,MAY 2023,JUN 2023,JULY 2023,AUG 2023,SEP 2023,OCT 2023,NOV 2023,ANNUAL TOTAL,,,,,
aiMotive Inc.,AVT036,4T1B21HK3KU514477,443,462.13,594.68,804.19,715.05,"1,049.54",999.96,566.14,"1,391.79","1,769.98",455.30,394.72,424.26,"9,627.74",,,,,
aiMotive Inc.,AVT036,4T1B21HK6KU514747,265,336.11,0.00,105.62,989.74,855.96,"1,038.24",645.45,47.67,0.00,77.26,588.64,563.98,"5,248.67",,,,,
Apollo,AVT015,3LN6L5LU2HR615153,1,135.6,197.3,272.1,409.2,356.4,570.9,652.9,425.1,472.1,107.3,461.1,293.6,4353.6,,,,,
Apollo,AVT015,2C4RC1N77LR190366,1,106.6,159,132.5,291.5,105.6,250.2,636.2,23.1,945.6,676.2,483.7,6.6,3816.8,,,,,
Apollo,AVT015,2C4RC1N71LR252232,0,0,0,0,0,0,231,483.6,407,897.8,588.3,334.3,0,2942,,,,,
Apollo,AVT015,3LN6L2LU4GR629715,1,313.7,372.9,464.5,448.8,468.6,26.4,0,94.5,655.5,830.1,381.3,143,4199.3,,,,,
Apollo,AVT015,3LN6L2LU5GR607996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Apollo,AVT015,3LN6L5LU1HR627987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
APPLE INC.,AVT030,2T2BGMCA0GC007400,78,1135.5,1299.7,1114.6,381.4,0.0,0.4,1.5,1.3,1.4,1.4,1.9,0.7,3939.8,,,,,
APPLE INC.,AVT030,2T2BGMCA0GC007946,43,0.00,0.00,0.00,0.00,1044.7,0.00,0.1,1491.7,2646.0,1334.3,3092.4,2252.4,11861.6,,,,,
APPLE INC.,AVT030,2T2BGMCA0HC014753,86,544.5,855.2,872.4,1321.9,0.00,0.1,842.6,2346.6,2881.2,0.00,0.00,0.00,9664.5,,,,,
APPLE INC.,AVT030,2T2BGMCA0HC015899,6,0.00,0.00,0.00,220.9,739.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,960.7,,,,,
APPLE INC.,AVT030,2T2BGMCA0HC016082,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1832.7,0.00,0.00,1832.7,,,,,
APPLE INC.,AVT030,2T2BGMCA0HC019225,217,1368.6,1132.5,0.00,0.00,0.00,696.0,921.9,2657.8,1235.5,0.1,779.4,1644.8,10436.6,,,,,
APPLE INC.,AVT030,2T2BGMCA0HC019709,31,0.00,0.00,0.00,252.8,911.6,1840.6,1023.8,2199.4,348.1,0.00,0.00,0.00,6576.3,,,,,
APPLE INC.,AVT030,2T2BGMCA0HC019919,74,0.00,0.00,0.00,0.00,343.3,2156.8,738.3,889.7,2387.7,0.1,3608.1,2436.8,12560.8,,,,,
APPLE INC.,AVT030,2T2BGMCA0HC019967,18,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.00,2841.0,365.5,0.00,0.00,3206.8,,,,,
APPLE INC.,AVT030,2T2BGMCA0HC020083,56,0.00,0.00,0.00,0.00,664.6,0.1,0.00,2628.6,3276.4,2503.9,2898.2,448.5,12420.3,,,,,
APPLE INC.,AVT030,2T2BGMCA1GC008135,25,0.00,0.00,0.00,505.1,0.00,1720.1,0.1,0.00,0.00,0.00,129.9,1277.2,3632.4,,,,,
APPLE INC.,AVT030,2T2BGMCA1HC014096,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,825.5,0.00,0.00,0.00,825.5,,,,,
APPLE INC.,AVT030,2T2BGMCA1HC016933,0,0.00,0.00,0.00,0.00,284.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,284.5,,,,,
APPLE INC.,AVT030,2T2BGMCA2GC003882,122,992.3,3.9,599.6,1030.6,0.00,0.00,774.8,2135.7,3691.4,2480.3,1499.0,0.00,13207.6,,,,,
APPLE INC.,AVT030,2T2BGMCA2GC007754,86,0.00,0.00,0.00,214.1,1771.2,717.2,1383.2,3084.0,3603.6,164.0,0.00,0.00,10937.3,,,,,
APPLE INC.,AVT030,2T2BGMCA2HC012521,77,349.2,335.4,1066.1,1465.0,0.00,0.00,0.1,2291.8,3687.3,991.1,1654.4,1337.5,13177.9,,,,,
APPLE INC.,AVT030,2T2BGMCA2HC019338,34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1463.5,2082.4,2446.5,5992.4,,,,,
APPLE INC.,AVT030,2T2BGMCA2HC019890,89,1136.2,1635.7,914.5,0.00,0.00,0.1,348.7,0.1,482.8,2605.9,0.1,0.00,7124.1,,,,,
APPLE INC.,AVT030,2T2BGMCA2HC019968,28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3099.4,2092.4,2573.0,7764.9,,,,,
APPLE INC.,AVT030,2T2BGMCA2HC020151,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1,249.9,193.9,0.00,443.9,,,,,
APPLE INC.,AVT030,2T2BGMCA3GC007861,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1,4090.5,3048.9,2008.7,2485.1,11633.3,,,,,
APPLE INC.,AVT030,2T2BGMCA3GC007911,119,0.1,716.0,1039.2,0.0,1560.1,577.6,1051.8,3940.5,3944.1,2190.9,2390.9,1839.1,19250.3,,,,,
APPLE INC.,AVT030,2T2BGMCA3HC014584,68,0.00,0.00,0.00,52.6,1155.6,1458.8,1717.2,2033.6,3423.7,2876.1,2126.0,2122.1,16965.7,,,,,
APPLE INC.,AVT030,2T2BGMCA3HC020062,22,0.00,0.00,0.00,0.0,1413.8,1634.7,0.00,0.00,0.00,0.00,0.00,0.00,3048.5,,,,,
APPLE INC.,AVT030,2T2BGMCA4HC016845,36,0.00,0.00,0.00,74.3,0.00,0.00,0.00,0.00,878.3,3108.5,2947.4,2536.3,9544.8,,,,,
APPLE INC.,AVT030,2T2BGMCA4HC016912,64,0.00,0.00,0.00,189.6,2591.2,1495.0,1126.3,1403.2,3460.3,2703.8,1199.3,1142.0,15310.7,,,,,
APPLE INC.,AVT030,2T2BGMCA4HC019826,62,345.3,0.00,0.00,0.00,0.00,0.00,584.9,2234.5,3809.7,2070.0,2482.3,2370.9,13897.6,,,,,
APPLE INC.,AVT030,2T2BGMCA4HC020118,105,1361.2,1258.4,1094.8,1462.2,0.00,0.00,0.00,106.1,3243.8,2945.3,1953.1,0.00,13424.9,,,,,
APPLE INC.,AVT030,2T2BGMCA5HC014389,140,170.1,856.0,1304.5,721.0,836.5,712.0,1628.5,3310.4,3637.2,2367.3,3177.3,2822.2,21543.0,,,,,
APPLE INC.,AVT030,2T2BGMCA5HC019219,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1,0.00,0.1,,,,,
APPLE INC.,AVT030,2T2BGMCA5HC019432,125,1028.4,1168.5,1469.1,1383.3,32.6,0.00,0.00,0.1,4022.7,3048.9,3167.9,1565.4,16886.9,,,,,
APPLE INC.,AVT030,2T2BGMCA5HC019818,124,755.7,1743.4,1320.0,737.4,0.0,9.1,358.2,2619.9,886.4,0.1,1212.4,2374.7,12017.3,,,,,
APPLE INC.,AVT030,2T2BGMCA6GC007983,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,888.7,1690.3,2672.6,2520.8,7772.4,,,,,
APPLE INC.,AVT030,2T2BGMCA6HC016667,17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,943.9,1319.8,2263.7,,,,,
APPLE INC.,AVT030,2T2BGMCA6HC019228,35,0.00,0.00,0.00,0.00,411.1,2373.0,479.7,0.00,0.00,0.00,0.00,0.00,3263.8,,,,,
APPLE INC.,AVT030,2T2BGMCA7GC003781,73,0.00,0.00,0.00,0.00,0.00,0.1,1400.3,2345.0,3439.0,0.00,0.00,0.00,7184.4,,,,,
APPLE INC.,AVT030,2T2BGMCA7GC007068,69,0.8,1.0,0.9,0.7,0.00,0.0,961.9,2358.8,3196.3,2883.8,2442.7,1916.6,13763.5,,,,,
APPLE INC.,AVT030,2T2BGMCA7HC014877,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,601.2,65.4,0.00,666.6,,,,,
APPLE INC.,AVT030,2T2BGMCA7HC017262,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.6,0.00,0.00,0.00,0.00,5.6,,,,,
APPLE INC.,AVT030,2T2BGMCA8GC003823,158,1196.5,1330.6,1339.3,1483.0,0.00,0.00,722.6,73.2,1753.5,3296.3,1413.2,2567.1,15175.3,,,,,
APPLE INC.,AVT030,2T2BGMCA8GC003871,61,0.00,0.00,0.00,0.1,0.00,852.1,1649.7,2856.0,3667.0,3080.7,676.5,0.00,12782.1,,,,,
APPLE INC.,AVT030,2T2BGMCA8GC007371,76,1483.0,1231.0,0.0,63.2,196.6,0.00,0.00,0.00,0.00,0.00,281.2,1860.4,5115.4,,,,,
APPLE INC.,AVT030,2T2BGMCA8GC008424,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1,0.00,0.00,0.00,0.00,0.1,,,,,
APPLE INC.,AVT030,2T2BGMCA8GC008505,48,720.4,755.3,245.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1721.4,,,,,
APPLE INC.,AVT030,2T2BGMCA8HC016136,77,0.00,0.00,0.00,0.00,440.9,562.5,1541.8,1320.3,3477.7,3085.5,1127.9,1522.2,13078.8,,,,,
APPLE INC.,AVT030,2T2BGMCA8HC017772,7,0.1,584.7,0.00,0.00,0.1,0.00,0.2,0.1,0.1,0.00,0.00,0.00,585.3,,,,,
APPLE INC.,AVT030,2T2BGMCA8HC019540,57,0.00,197.1,1084.1,950.7,0.00,0.00,0.00,0.00,2037.9,3013.4,2534.4,2300.3,12117.9,,,,,
APPLE INC.,AVT030,2T2BGMCA8HC019876,45,0.00,0.00,0.00,0.00,54.8,1703.2,1989.9,337.3,0.00,0.00,0.00,0.00,4085.2,,,,,
APPLE INC.,AVT030,2T2BGMCA8HC020137,22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1,489.2,3096.5,1519.8,939.2,6044.8,,,,,
APPLE INC.,AVT030,2T2BGMCA9GC007394,29,0.00,0.00,0.00,0.00,813.1,0.00,0.00,0.00,122,737.5,179.2,1137.7,2989.5,,,,,
APPLE INC.,AVT030,2T2BGMCA9HC019126,185,1004.8,1214.6,2040.7,1431.8,0.00,0.00,0.1,3363.6,3114.1,2621.6,2670.5,332.7,17794.5,,,,,
APPLE INC.,AVT030,2T2BGMCA9HC019532,128,618.8,1214.5,1232.9,1244.1,41.5,0.00,162.8,1062.3,2420.2,2105.8,3739.4,2509.2,16351.5,,,,,
APPLE INC.,AVT030,2T2BGMCAXGC006416,56,997.2,361.9,1343.4,671.9,0.00,838.3,0.1,0.00,0.00,0.00,0.00,0.00,4212.8,,,,,
APPLE INC.,AVT030,2T2BGMCAXHC018051,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1684.6,530.8,1226,3441.4,,,,,
APPLE INC.,AVT030,2T2BGMCAXHC018082,9,0.00,0.00,0.00,0.00,858.8,556.6,0.00,0.00,0.00,0.00,0.00,0.00,1415.4,,,,,
APPLE INC.,AVT030,2T2BGMCAXHC019927,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,255.9,3164.4,2343.4,5763.7,,,,,
APPLE INC.,AVT030,2T2BGMCAXHC020026,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1357.90,1981.10,1436.10,4775.10,,,,,
APPLE INC.,AVT030,2T2BGMCA2GC007334,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
APPLE INC.,AVT030,2T2BGMCA9GC008464,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
APPLE INC.,AVT030,2T2BGMCA4GC005228,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
APPLE INC.,AVT030,2T2BGMCA2GC008418,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
APPLE INC.,AVT030,2T2BGMCA7GC008382,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
APPLE INC.,AVT030,2T2BGMCA5GC006145,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
APPLE INC.,AVT030,2T2BGMCAXHC014310,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
APPLE INC.,AVT030,2T2BGMCA9HC019305,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
APPLE INC.,AVT030,2T2BGMCA5HC019737,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
APPLE INC.,AVT030,2T2BGMCA8HC019411,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
