Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,DEC 2020,JAN 2021,FEB 2021,MAR 2021,APR 2021,MAY 2021,JUN 2021,JULY 2021,AUG 2021,SEP 2021,OCT 2021,NOV 2021,ANNUAL TOTAL,,,,,
WAYMO LLC,AVT003,SADHW2S11M1615776,0,0,0,0,0,0,0,799.1,400.3,405.5,150.5,1338.1,2446,5539.5,,,,,
WAYMO LLC,AVT003,SADHW2S11M1615681,0,0,0,0,0,0,0,595.6,463.7,1097.9,1334.5,202.9,94.5,3789.1,,,,,
WAYMO LLC,AVT003,SADHW2S14M1615805,0,0,0,0,0,0,0,1060.6,2761.7,2925.6,2035.8,1667.9,1381.9,11833.5,,,,,
WAYMO LLC,AVT003,SADHW2S11M1616281,1,0,0,0,0,0,0,497.3,552,820.2,887.1,2335.1,2544,7635.7,,,,,
WAYMO LLC,AVT003,SADHW2S16M1615773,0,0,0,0,0,0,0,113.6,603.9,711.9,92.7,1805.9,752,4080,,,,,
WAYMO LLC,AVT003,SADHW2S13M1615732,0,0,0,0,0,0,0,1442,926.5,1955.1,168.6,1578.6,2464.8,8535.6,,,,,
WAYMO LLC,AVT003,SADHW2S12M1616290,0,0,0,0,0,0,0,573.4,293.9,0,0,454.3,136.8,1458.4,,,,,
WAYMO LLC,AVT003,SADHW2S15M1616199,1,0,0,0,0,0,0,171.2,297.4,1145.2,453,2174.4,3096.8,7338,,,,,
WAYMO LLC,AVT003,SADHW2S16M1615501,0,0,0,0,0,0,0,263.4,157.2,580.6,175,2697.8,1810.9,5684.9,,,,,
WAYMO LLC,AVT003,SADHW2S18M1615564,3,0,0,0,0,0,0,84.5,941.3,1488.4,2740,2707.7,3110.6,11072.5,,,,,
WAYMO LLC,AVT003,SADHW2S19M1615699,0,0,0,0,0,0,0,935.5,856.5,855.4,396.6,2566.4,1183,6793.4,,,,,
WAYMO LLC,AVT003,SADHW2S12M1615706,1,0,0,0,0,0,0,395.4,549,2601.2,395.5,2079.5,2521.4,8542,,,,,
WAYMO LLC,AVT003,SADHW2S10M1615753,0,0,0,0,0,0,0,500,0,0,0,0,0,500,,,,,
WAYMO LLC,AVT003,SADHW2S15M1615599,0,0,0,0,0,0,0,0,0,974.8,415.4,1574.1,1321.1,4285.4,,,,,
